category,logo,color_svg,color_png,black_svg,black_png,white_svg,white_png,origin,source_raster,note,source_url
certifications,pmi-acp,pmi-acp.svg,pmi-acp.png,pmi-acp-black.svg,pmi-acp-black.png,pmi-acp-white.svg,pmi-acp-white.png,traced,_raster-originals/certifications/pmi-acp-source.png,"PMI's own badge art via Credly at 680px, traced; gradient flattened. One-colour cuts are built with --plate-above 100: the light plate carrying PMI-ACP is sealed inside the disc and must knock out, while the disc's own tan bottom is the same tone but open to the edge and must not",https://images.credly.com/size/680x680/images/884f1605-f439-4b0d-ba7c-76a921266d45/blob
certifications,pmp,pmp.svg,pmp.png,pmp-black.svg,pmp-black.png,pmp-white.svg,pmp-white.png,traced,_raster-originals/certifications/pmp-source.png,"PMI's own badge art via Credly at 680px, traced; the radial gradient behind the badge flattens to one purple. One-colour cuts are built with --plate-above 100: the light plate carrying PMP is sealed inside the disc, and filling it as ink left a featureless black circle",https://images.credly.com/size/680x680/images/731e7ef4-9b0c-4d7b-ab65-23cc699c0aa3/blob
certifications,prosci,prosci.svg,prosci.png,prosci-black.svg,prosci-black.png,prosci-white.svg,prosci-white.png,published vector,,issuer mark for the Prosci Change Practitioner certification the deck claims,https://www.prosci.com/
certifications,scrum-alliance,scrum-alliance.svg,scrum-alliance.png,scrum-alliance-black.svg,scrum-alliance-black.png,scrum-alliance-white.svg,scrum-alliance-white.png,published vector,,issuer mark for the Certified ScrumMaster the deck claims,https://www.scrumalliance.org/
certifications,umbraco-certified-master,umbraco-certified-master.svg,umbraco-certified-master.png,umbraco-certified-master-black.svg,umbraco-certified-master-black.png,umbraco-certified-master-white.svg,umbraco-certified-master-white.png,traced,_raster-originals/certifications/umbraco-certified-master.png,the badge the library README recorded as missing; traced from the deck's 969px art,Logo library.pptx (969px raster; Umbraco publishes no vector of this badge)
certifications,umbraco-gold-partner,umbraco-gold-partner.svg,umbraco-gold-partner.png,umbraco-gold-partner-black.svg,umbraco-gold-partner-black.png,umbraco-gold-partner-white.svg,umbraco-gold-partner-white.png,traced,_raster-originals/certifications/umbraco-gold-partner.png,"Umbraco Gold Partner tier badge, traced from the deck's 559px art",Logo library.pptx (559px raster)
certifications,umbraco-platinum-partner-badge,umbraco-platinum-partner-badge.svg,umbraco-platinum-partner-badge.png,umbraco-platinum-partner-badge-black.svg,umbraco-platinum-partner-badge-black.png,umbraco-platinum-partner-badge-white.svg,umbraco-platinum-partner-badge-white.png,traced,_raster-originals/certifications/umbraco-platinum-partner-badge-vertical-black.png,,https://www.rbaconsulting.com/wp-content/uploads/2026/03/platinum_vertical_partner_badge_black.png
community,black-girls-code,black-girls-code.svg,black-girls-code.png,black-girls-code-black.svg,black-girls-code-black.png,black-girls-code-white.svg,black-girls-code-white.png,published vector,,"Black Girls Code's own artwork, stacked orange cut",https://www.wearebgc.org/
community,breaking-free,breaking-free.svg,breaking-free.png,breaking-free-black.svg,breaking-free-black.png,breaking-free-white.svg,breaking-free-white.png,traced,_raster-originals/community/breaking-free.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/breakingfree.png
community,breast-cancer-research-foundation,breast-cancer-research-foundation.svg,breast-cancer-research-foundation.png,breast-cancer-research-foundation-black.svg,breast-cancer-research-foundation-black.png,breast-cancer-research-foundation-white.svg,breast-cancer-research-foundation-white.png,traced,_raster-originals/community/breast-cancer-research-foundation.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/Breast_CancerRF.png
community,bridging,bridging.svg,bridging.png,bridging-black.svg,bridging-black.png,bridging-white.svg,bridging-white.png,traced,_raster-originals/community/bridging.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/bridging.png
community,camp-knutson,camp-knutson.svg,camp-knutson.png,camp-knutson-black.svg,camp-knutson-black.png,camp-knutson-white.svg,camp-knutson-white.png,traced,_raster-originals/community/camp-knutson.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/knutson.png
community,cios-against-cancer,cios-against-cancer.svg,cios-against-cancer.png,cios-against-cancer-black.svg,cios-against-cancer-black.png,cios-against-cancer-white.svg,cios-against-cancer-white.png,traced,_raster-originals/community/cios-against-cancer.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/CIOs-Against-Cancer-Logo-1.png
community,gifts-for-seniors,gifts-for-seniors.svg,gifts-for-seniors.png,gifts-for-seniors-black.svg,gifts-for-seniors-black.png,gifts-for-seniors-white.svg,gifts-for-seniors-white.png,traced,_raster-originals/community/gifts-for-seniors.png,,https://www.rbaconsulting.com/wp-content/uploads/2025/03/gifts-for-seniors.png
